Xa,Ya,Za,Xgr,Ygr,Zgr,Xma,Yma,Zma,Temp
Initialising
-21.48,243.16,912.6,-1.4,2.2,-14.54,20.7,24.9,384.45,30.52
-100.1,195.31,1014.65,-4.62,4.89,-6.36,20.85,25.2,385.5,30.33
-63.48,213.87,943.85,-13.63,-4.25,-9.89,22.35,26.55,386.1,30.62
-73.24,252.93,1017.58,-24.41,-7.01,4.81,19.95,24.75,385.8,30.67
-70.31,175.78,1037.6,-21.66,-21.89,17.85,18.0,22.5,385.5,30.62
-27.83,190.92,1092.29,13.82,-2.93,10.92,17.1,21.0,385.8,30.67
11.72,62.99,1146.97,-6.88,19.22,44.98,19.95,22.5,385.8,30.67
64.45,55.66,1128.91,-2.96,-14.24,12.45,18.15,20.7,384.15,30.67
113.28,127.44,1048.83,6.82,-11.53,18.35,17.4,20.7,385.65,30.43
61.04,199.22,1031.74,3.75,8.18,-6.43,15.75,21.15,384.15,30.62
123.05,147.95,994.14,-17.87,-5.02,-12.44,16.35,20.55,384.3,30.67
61.52,148.44,1018.07,-10.11,20.24,-18.06,15.15,20.55,384.3,30.67
Destination:,1.5,-0.7
Initialising
17.55,22.05,385.05,30.67
-26.37,151.37,1020.51,1.7,13.01,9.29,16.5,22.65,385.65,30.47
-1.11,16.2,17.25,384.9,30.33
37.11,78.12,966.31,-0.52,-3.63,-7.13,15.75,14.7,385.35,30.52
18.07,27.83,1055.18,0.0,7.15,-2.29,15.9,15.6,386.7,30.52
-2.93,90.82,1011.23,5.4,2.86,-9.37,17.4,16.2,386.85,30.43
-4.88,119.63,1019.04,5.81,-6.76,0.09,15.75,17.7,386.85,30.52
10.74,94.24,1023.44,-1.62,-0.51,-2.28,16.8,16.8,385.8,30.67
28.81,92.77,1021.0,-0.26,0.24,1.24,14.25,18.6,386.7,30.67
53.71,90.82,1020.02,-0.14,0.59,1.95,16.5,17.25,386.4,30.62
Start
25.39,155.27,947.75,-0.99,-8.95,-17.41,16.5,17.7,384.45,30.67
25.88,135.25,979.98,-4.44,13.08,-6.14,14.55,16.95,385.65,30.67
30.76,196.29,1016.6,-5.01,9.92,-10.43,15.15,18.3,385.5,30.62
22.46,101.56,1011.23,-5.79,3.74,-9.24,18.0,17.1,387.45,30.62
17.09,141.11,1010.25,16.83,13.54,7.93,16.8,18.3,386.25,30.52
19.53,147.46,981.93,13.46,-0.1,2.89,16.8,18.6,386.7,30.67
50.29,167.48,1010.74,5.16,8.56,20.04,16.5,18.9,386.1,30.67
28.81,166.99,1054.2,1.44,-1.51,-0.48,17.55,19.35,386.7,30.86
88.38,146.97,1063.96,2.11,-12.53,-16.88,16.95,19.65,385.65,30.67
-24.41,63.48,1068.36,-4.52,2.86,10.13,16.2,19.2,385.65,30.62
-57.13,211.91,897.95,9.95,-3.87,3.56,16.35,20.55,385.8,30.33
8.79,111.33,1008.79,-10.62,9.66,14.0,15.45,21.0,386.25,30.47
8.79,111.82,1078.61,-13.21,8.92,-25.56,15.9,20.1,385.8,30.43
-61.52,164.06,959.47,14.16,-3.89,-14.34,18.6,20.7,385.35,30.52
-66.41,236.82,956.05,26.5,-0.98,-12.93,18.0,22.5,383.55,30.33
-48.83,243.65,1022.46,2.97,0.21,8.07,16.8,24.0,385.5,30.81
-9.28,139.16,1062.5,-5.67,9.11,14.47,17.55,24.45,384.3,30.52
102.54,142.09,988.28,-0.24,-1.02,-29.49,16.95,23.4,384.45,30.67
34.67,241.7,967.29,-7.66,-3.79,-31.34,18.75,23.25,385.05,30.47
84.47,187.99,986.82,-6.65,-14.21,-19.12,19.05,24.6,385.65,30.62
173.83,165.53,967.29,-3.92,0.31,-31.73,17.7,24.9,384.9,30.52
16.6,231.45,1047.85,1.18,-9.47,-42.07,19.65,25.95,385.8,30.62
-14.65,241.21,993.65,6.51,-11.88,-13.91,19.2,25.95,384.3,30.62
-29.3,238.77,1054.69,0.95,-8.17,-1.72,18.15,26.55,386.1,30.67
-83.98,167.97,998.05,1.36,-8.29,9.77,17.4,26.1,384.15,30.67
-65.43,216.31,1005.86,-1.72,-2.33,-2.4,15.15,24.75,385.8,30.62
-41.5,198.24,1078.61,-10.85,7.18,-15.44,16.35,25.2,385.5,30.67
14.65,122.07,1009.77,-7.0,-0.31,-40.63,14.85,25.35,385.65,30.67
